,event_time,new
201,2019-12-17 00:20:56,2019-12-17 00:20:56
202,2019-12-17 00:21:03,2019-12-17 00:21:03
203,2019-12-17 00:21:11,2019-12-17 00:21:11
204,2019-12-17 00:21:11,2019-12-17 00:21:12
205,2019-12-17 00:21:12,2019-12-17 00:21:12
206,2019-12-17 00:21:12,2019-12-17 00:21:13
207,2019-12-17 00:21:17,2019-12-17 00:21:17
208,2019-12-17 00:21:17,2019-12-17 00:21:18
209,2019-12-17 00:21:20,2019-12-17 00:21:20
210,2019-12-17 00:21:40,2019-12-17 00:21:40
211,2019-12-17 00:21:48,2019-12-17 00:21:48
212,2019-12-17 00:21:49,2019-12-17 00:21:49
213,2019-12-17 00:21:50,2019-12-17 00:21:50
214,2019-12-17 00:21:52,2019-12-17 00:21:52
215,2019-12-17 00:21:55,2019-12-17 00:21:55
216,2019-12-17 00:22:04,2019-12-17 00:22:04
217,2019-12-17 00:22:32,2019-12-17 00:22:32
218,2019-12-17 00:22:44,2019-12-17 00:22:44
219,2019-12-17 00:22:55,2019-12-17 00:22:55
220,2019-12-17 00:22:56,2019-12-17 00:22:56
221,2019-12-17 00:23:12,2019-12-17 00:23:12
222,2019-12-17 00:23:30,2019-12-17 00:23:30
223,2019-12-17 00:23:38,2019-12-17 00:23:38
224,2019-12-17 00:23:54,2019-12-17 00:23:54
225,2019-12-17 00:23:56,2019-12-17 00:23:56
226,2019-12-17 00:24:12,2019-12-17 00:24:12
227,2019-12-17 00:24:13,2019-12-17 00:24:13
228,2019-12-17 00:24:21,2019-12-17 00:24:21
229,2019-12-17 00:24:23,2019-12-17 00:24:23
230,2019-12-17 00:24:26,2019-12-17 00:24:26
231,2019-12-17 00:24:34,2019-12-17 00:24:34
232,2019-12-17 00:24:50,2019-12-17 00:24:50
233,2019-12-17 00:25:13,2019-12-17 00:25:13
234,2019-12-17 00:25:38,2019-12-17 00:25:38
235,2019-12-17 00:25:59,2019-12-17 00:25:59
236,2019-12-17 00:26:38,2019-12-17 00:26:38
237,2019-12-17 00:27:03,2019-12-17 00:27:03
238,2019-12-17 00:27:06,2019-12-17 00:27:06
239,2019-12-17 00:27:13,2019-12-17 00:27:13
240,2019-12-17 00:27:13,2019-12-17 00:27:14
241,2019-12-17 00:27:20,2019-12-17 00:27:20
242,2019-12-17 00:27:23,2019-12-17 00:27:23
243,2019-12-17 00:28:08,2019-12-17 00:28:08
244,2019-12-17 00:28:35,2019-12-17 00:28:35
245,2019-12-17 00:28:38,2019-12-17 00:28:38
246,2019-12-17 00:28:55,2019-12-17 00:28:55
247,2019-12-17 00:29:00,2019-12-17 00:29:00
248,2019-12-17 00:29:05,2019-12-17 00:29:05
249,2019-12-17 00:29:06,2019-12-17 00:29:06
250,2019-12-17 00:29:06,2019-12-17 00:29:07
251,2019-12-17 00:29:08,2019-12-17 00:29:08
252,2019-12-17 00:29:18,2019-12-17 00:29:18
253,2019-12-17 00:29:25,2019-12-17 00:29:25
254,2019-12-17 00:29:30,2019-12-17 00:29:30
255,2019-12-17 00:29:37,2019-12-17 00:29:37
256,2019-12-17 00:29:41,2019-12-17 00:29:41
257,2019-12-17 00:29:42,2019-12-17 00:29:42
258,2019-12-17 00:29:45,2019-12-17 00:29:45
259,2019-12-17 00:30:17,2019-12-17 00:30:17
260,2019-12-17 00:30:19,2019-12-17 00:30:19
261,2019-12-17 00:30:24,2019-12-17 00:30:24
262,2019-12-17 00:30:26,2019-12-17 00:30:26
263,2019-12-17 00:30:47,2019-12-17 00:30:47
264,2019-12-17 00:31:01,2019-12-17 00:31:01
265,2019-12-17 00:31:19,2019-12-17 00:31:19
266,2019-12-17 00:31:41,2019-12-17 00:31:41
267,2019-12-17 00:31:42,2019-12-17 00:31:42
268,2019-12-17 00:31:47,2019-12-17 00:31:47
269,2019-12-17 00:31:56,2019-12-17 00:31:56
270,2019-12-17 00:32:12,2019-12-17 00:32:12
271,2019-12-17 00:32:26,2019-12-17 00:32:26
272,2019-12-17 00:32:35,2019-12-17 00:32:35
273,2019-12-17 00:32:39,2019-12-17 00:32:39
274,2019-12-17 00:32:43,2019-12-17 00:32:43
275,2019-12-17 00:32:46,2019-12-17 00:32:46
276,2019-12-17 00:32:49,2019-12-17 00:32:49
277,2019-12-17 00:33:19,2019-12-17 00:33:19
278,2019-12-17 00:33:27,2019-12-17 00:33:27
279,2019-12-17 00:33:28,2019-12-17 00:33:28
280,2019-12-17 00:33:52,2019-12-17 00:33:52
281,2019-12-17 00:34:03,2019-12-17 00:34:03
282,2019-12-17 00:34:10,2019-12-17 00:34:10
283,2019-12-17 00:34:35,2019-12-17 00:34:35
284,2019-12-17 00:34:38,2019-12-17 00:34:38
285,2019-12-17 00:34:50,2019-12-17 00:34:50
286,2019-12-17 00:34:58,2019-12-17 00:34:58
287,2019-12-17 00:34:58,2019-12-17 00:34:59
288,2019-12-17 00:35:05,2019-12-17 00:35:05
289,2019-12-17 00:35:16,2019-12-17 00:35:16
290,2019-12-17 00:35:22,2019-12-17 00:35:22
291,2019-12-17 00:35:40,2019-12-17 00:35:40
292,2019-12-17 00:35:40,2019-12-17 00:35:41
293,2019-12-17 00:35:44,2019-12-17 00:35:44
294,2019-12-17 00:35:47,2019-12-17 00:35:47
295,2019-12-17 00:35:56,2019-12-17 00:35:56
296,2019-12-17 00:36:00,2019-12-17 00:36:00
297,2019-12-17 00:36:01,2019-12-17 00:36:01
298,2019-12-17 00:36:11,2019-12-17 00:36:11
299,2019-12-17 00:36:24,2019-12-17 00:36:24
300,2019-12-17 00:36:31,2019-12-17 00:36:31
301,2019-12-17 00:36:37,2019-12-17 00:36:37
302,2019-12-17 00:36:37,2019-12-17 00:36:38
303,2019-12-17 00:36:47,2019-12-17 00:36:47
304,2019-12-17 00:36:48,2019-12-17 00:36:48
305,2019-12-17 00:36:48,2019-12-17 00:36:49
306,2019-12-17 00:36:51,2019-12-17 00:36:51
307,2019-12-17 00:37:11,2019-12-17 00:37:11
308,2019-12-17 00:37:23,2019-12-17 00:37:23
309,2019-12-17 00:37:36,2019-12-17 00:37:36
310,2019-12-17 00:37:42,2019-12-17 00:37:42
311,2019-12-17 00:37:47,2019-12-17 00:37:47
312,2019-12-17 00:38:01,2019-12-17 00:38:01
313,2019-12-17 00:38:16,2019-12-17 00:38:16
314,2019-12-17 00:38:20,2019-12-17 00:38:20
315,2019-12-17 00:38:27,2019-12-17 00:38:27
316,2019-12-17 00:38:40,2019-12-17 00:38:40
317,2019-12-17 00:38:42,2019-12-17 00:38:42
318,2019-12-17 00:38:43,2019-12-17 00:38:43
319,2019-12-17 00:38:49,2019-12-17 00:38:49
320,2019-12-17 00:38:56,2019-12-17 00:38:56
321,2019-12-17 00:38:57,2019-12-17 00:38:57
322,2019-12-17 00:39:29,2019-12-17 00:39:29
323,2019-12-17 00:39:35,2019-12-17 00:39:35
324,2019-12-17 00:39:39,2019-12-17 00:39:39
325,2019-12-17 00:39:42,2019-12-17 00:39:42
326,2019-12-17 00:40:14,2019-12-17 00:40:14
327,2019-12-17 00:40:20,2019-12-17 00:40:20
328,2019-12-17 00:41:19,2019-12-17 00:41:19
329,2019-12-17 00:41:20,2019-12-17 00:41:20
330,2019-12-17 00:41:22,2019-12-17 00:41:22
331,2019-12-17 00:41:35,2019-12-17 00:41:35
332,2019-12-17 00:41:59,2019-12-17 00:41:59
333,2019-12-17 00:42:07,2019-12-17 00:42:07
334,2019-12-17 00:42:13,2019-12-17 00:42:13
335,2019-12-17 00:42:16,2019-12-17 00:42:16
336,2019-12-17 00:42:16,2019-12-17 00:42:17
337,2019-12-17 00:42:37,2019-12-17 00:42:37
338,2019-12-17 00:42:39,2019-12-17 00:42:39
339,2019-12-17 00:42:42,2019-12-17 00:42:42
340,2019-12-17 00:42:51,2019-12-17 00:42:51
341,2019-12-17 00:43:07,2019-12-17 00:43:07
342,2019-12-17 00:43:14,2019-12-17 00:43:14
343,2019-12-17 00:43:57,2019-12-17 00:43:57
